crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
lavender,PP10093,"A new and distinct New Guinea Impatiens cultivar named `BFP-664 Lavender` is provided. This new cultivar was the result of a controlled breeding program wherein the `Tahiti` cultivar (U.S. Plant Pat. No. 8,601) was pollinated by the `Raspberry Rose` cultivar (U.S. Plant Pat. No. 9,212). The new cultivar forms large dark lavender generally flat flowers with a light eye that display an iridescent appearance. The foliage is medium green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `BFP-661 Purple` cultivar (U.S. Plant Patent application Ser. No. 08/670,744, filed concurrently herewith) that is of the same parentage.",1997-10-28,New Guinea Impatiens named `BFP-664 Lavender`,plant,1997,Ball Horticultural Company,08670745,08/670745,NA,17] NA,17043] NA,US] NA,-88.204] NA,41.8848] NA,West Chicago] NA,644] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59gcejw2ub57swo66rngjpxw1] gnpcpsadhdxje8bt60tou1lqn,5261d4092feb7e1ae6547de089e7b927,NA,NA,NA,NA,NA,NA,"A new and distinct New Guinea Impatiens cultivar named `BFP-664 Lavender` is provided. This new cultivar was the result of a controlled breeding program wherein the `Tahiti` cultivar (U.S. Plant Pat. No. 8,601) was pollinated by the `Raspberry Rose` cultivar (U.S. Plant Pat. No. 9,212). The new cultivar forms large dark lavender generally flat flowers with a light eye that display an iridescent appearance. The foliage is medium green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `BFP-661 Purple` cultivar (U.S. Plant Patent application Ser. No. 08/670,744, filed concurrently herewith) that is of the same parentage.. New Guinea Impatiens named `BFP-664 Lavender`",2000,,,,lavender,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP10093,predicted,0,unknown,0.493187516927719,0,72
raspberry,PP10093,"A new and distinct New Guinea Impatiens cultivar named `BFP-664 Lavender` is provided. This new cultivar was the result of a controlled breeding program wherein the `Tahiti` cultivar (U.S. Plant Pat. No. 8,601) was pollinated by the `Raspberry Rose` cultivar (U.S. Plant Pat. No. 9,212). The new cultivar forms large dark lavender generally flat flowers with a light eye that display an iridescent appearance. The foliage is medium green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `BFP-661 Purple` cultivar (U.S. Plant Patent application Ser. No. 08/670,744, filed concurrently herewith) that is of the same parentage.",1997-10-28,New Guinea Impatiens named `BFP-664 Lavender`,plant,1997,Ball Horticultural Company,08670745,08/670745,NA,17] NA,17043] NA,US] NA,-88.204] NA,41.8848] NA,West Chicago] NA,644] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59gcejw2ub57swo66rngjpxw1] gnpcpsadhdxje8bt60tou1lqn,5261d4092feb7e1ae6547de089e7b927,NA,NA,NA,NA,NA,NA,"A new and distinct New Guinea Impatiens cultivar named `BFP-664 Lavender` is provided. This new cultivar was the result of a controlled breeding program wherein the `Tahiti` cultivar (U.S. Plant Pat. No. 8,601) was pollinated by the `Raspberry Rose` cultivar (U.S. Plant Pat. No. 9,212). The new cultivar forms large dark lavender generally flat flowers with a light eye that display an iridescent appearance. The foliage is medium green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `BFP-661 Purple` cultivar (U.S. Plant Patent application Ser. No. 08/670,744, filed concurrently herewith) that is of the same parentage.. New Guinea Impatiens named `BFP-664 Lavender`",2000,,,,raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP10093,predicted,0,unknown,0.493187516927719,0,72
raspberry,PP10093,"A new and distinct New Guinea Impatiens cultivar named `BFP-664 Lavender` is provided. This new cultivar was the result of a controlled breeding program wherein the `Tahiti` cultivar (U.S. Plant Pat. No. 8,601) was pollinated by the `Raspberry Rose` cultivar (U.S. Plant Pat. No. 9,212). The new cultivar forms large dark lavender generally flat flowers with a light eye that display an iridescent appearance. The foliage is medium green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `BFP-661 Purple` cultivar (U.S. Plant Patent application Ser. No. 08/670,744, filed concurrently herewith) that is of the same parentage.",1997-10-28,New Guinea Impatiens named `BFP-664 Lavender`,plant,1997,Ball Horticultural Company,08670745,08/670745,NA,17] NA,17043] NA,US] NA,-88.204] NA,41.8848] NA,West Chicago] NA,644] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59gcejw2ub57swo66rngjpxw1] gnpcpsadhdxje8bt60tou1lqn,5261d4092feb7e1ae6547de089e7b927,NA,NA,NA,NA,NA,NA,"A new and distinct New Guinea Impatiens cultivar named `BFP-664 Lavender` is provided. This new cultivar was the result of a controlled breeding program wherein the `Tahiti` cultivar (U.S. Plant Pat. No. 8,601) was pollinated by the `Raspberry Rose` cultivar (U.S. Plant Pat. No. 9,212). The new cultivar forms large dark lavender generally flat flowers with a light eye that display an iridescent appearance. The foliage is medium green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `BFP-661 Purple` cultivar (U.S. Plant Patent application Ser. No. 08/670,744, filed concurrently herewith) that is of the same parentage.. New Guinea Impatiens named `BFP-664 Lavender`",2000,,,,raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP10093,predicted,0,unknown,0.493187516927719,0,72
peach,PP10094,"A new and distinct variety of peach tree which has the following unique combination of features that are outstanding in a new variety: PA0 1. Heavy and regular bearer of fruit. PA0 2. Production of large, firm, white flesh fruit. PA0 3. Early maturity of fruit. PA0 4. Large tree size with vigorous, upright growth. PA0 5. Fruit with a high degree of attractive red skin color. PA0 6. Fruit with very good flavor and eating quality.",1997-11-04,"""Peach tree """"Snow Kist""""""",plant,1997,,08697574,08/697574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98naaqeksomo56t2l8uyxsm3n,NA,NA,NA,NA,NA,NA,NA,"A new and distinct variety of peach tree which has the following unique combination of features that are outstanding in a new variety: PA0 1. Heavy and regular bearer of fruit. PA0 2. Production of large, firm, white flesh fruit. PA0 3. Early maturity of fruit. PA0 4. Large tree size with vigorous, upright growth. PA0 5. Fruit with a high degree of attractive red skin color. PA0 6. Fruit with very good flavor and eating quality.. ""Peach tree """"Snow Kist""""""",2000,,,,peach,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP10094,predicted,0,unknown,0.49196457862854,0,72
lavender,PP10104,"A distinct cultivar of Chrysanthemum plant named Dark Fashion Time, characterized by its flat capitulum form; vigorous and tall growth habit; freely branching plant habit; medium decorative-type inflorescences; lavender ray florets; numerous inflorescences per plant; numerous ray florets per inflorescence; and good postproduction longevity.",1997-11-04,Chrysanthemum plant named `Dark Fashion Time`,plant,1997,Cleangro Ltd.,08664970,08/664970,NA,NA,NA,GB] NA,-0.779172] NA,50.8365] NA,Chichester] NA,137] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jmnj4v5kx896d01tqo6gci1cv,52d6e6c7eaf6b4abc9eb6a04e4ef1d62,NA,NA,NA,NA,NA,NA,"A distinct cultivar of Chrysanthemum plant named Dark Fashion Time, characterized by its flat capitulum form; vigorous and tall growth habit; freely branching plant habit; medium decorative-type inflorescences; lavender ray florets; numerous inflorescences per plant; numerous ray florets per inflorescence; and good postproduction longevity.. Chrysanthemum plant named `Dark Fashion Time`",2000,,,,lavender,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP10104,predicted,0,unknown,0.493040323257446,0,72
grape,PP10107,"A new and distinct New Guinea Impatiens cultivar named `Grape Crush` is provided. This new cultivar was the result of a controlled breeding program wherein the `Papete` cultivar (U.S. Plant Pat. No. 8,457) was pollinated by the `Tahiti` cultivar (U.S. Plant Pat. No. 8,601). The new cultivar forms large round rich purple flowers with a red eye that display an iridescent appearance. The foliage is medium green in coloration. An attractive moderately compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the parent `Papete` cultivar.",1997-11-04,New Guinea Impatiens named `Grape Crush`,plant,1997,Ball Horticultural Company,08685535,08/685535,NA,17] NA,17043] NA,US] NA,-88.204] NA,41.8848] NA,West Chicago] NA,644] NA,PP11419] NA,New Guinea impatiens plant named `Kisar`] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ezxlkrwm6s0byq465440dw0qh,5261d4092feb7e1ae6547de089e7b927,NA,NA,NA,NA,NA,NA,"A new and distinct New Guinea Impatiens cultivar named `Grape Crush` is provided. This new cultivar was the result of a controlled breeding program wherein the `Papete` cultivar (U.S. Plant Pat. No. 8,457) was pollinated by the `Tahiti` cultivar (U.S. Plant Pat. No. 8,601). The new cultivar forms large round rich purple flowers with a red eye that display an iridescent appearance. The foliage is medium green in coloration. An attractive moderately compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the parent `Papete` cultivar.. New Guinea Impatiens named `Grape Crush`",2000,,,,grape,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP10107,predicted,0,unknown,0.49094969034195,0,72
orange,PP10108,"A new and distinct New Guinea Impatiens cultivar named `BFP-650 Peach` is provided. This new cultivar was the result of a controlled breeding program wherein a plant designated `6468-2` (non-patented in the United States) was pollinated by a plant designated `380` (non-patented in the United States). The new cultivar forms large soft peach colored flowers having an eye of fuchsia and white that display an iridescent appearance. The foliage is dark bronze-green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `Bonfire Orange` cultivar (U.S. Plant Pat. No. 8,398).",1997-11-04,New Guinea Impatiens named `BFP-650 Peach`,plant,1997,Ball Horticultural Company,08685536,08/685536,NA,17] NA,17043] NA,US] NA,-88.204] NA,41.8848] NA,West Chicago] NA,644] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,k8sl9nitp4a1aufcn5i7et1bm,5261d4092feb7e1ae6547de089e7b927,NA,NA,NA,NA,NA,NA,"A new and distinct New Guinea Impatiens cultivar named `BFP-650 Peach` is provided. This new cultivar was the result of a controlled breeding program wherein a plant designated `6468-2` (non-patented in the United States) was pollinated by a plant designated `380` (non-patented in the United States). The new cultivar forms large soft peach colored flowers having an eye of fuchsia and white that display an iridescent appearance. The foliage is dark bronze-green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `Bonfire Orange` cultivar (U.S. Plant Pat. No. 8,398).. New Guinea Impatiens named `BFP-650 Peach`",2000,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP10108,predicted,0,unknown,0.490046948194504,0,72
orange,PP10108,"A new and distinct New Guinea Impatiens cultivar named `BFP-650 Peach` is provided. This new cultivar was the result of a controlled breeding program wherein a plant designated `6468-2` (non-patented in the United States) was pollinated by a plant designated `380` (non-patented in the United States). The new cultivar forms large soft peach colored flowers having an eye of fuchsia and white that display an iridescent appearance. The foliage is dark bronze-green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `Bonfire Orange` cultivar (U.S. Plant Pat. No. 8,398).",1997-11-04,New Guinea Impatiens named `BFP-650 Peach`,plant,1997,Ball Horticultural Company,08685536,08/685536,NA,17] NA,17043] NA,US] NA,-88.204] NA,41.8848] NA,West Chicago] NA,644] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,k8sl9nitp4a1aufcn5i7et1bm,5261d4092feb7e1ae6547de089e7b927,NA,NA,NA,NA,NA,NA,"A new and distinct New Guinea Impatiens cultivar named `BFP-650 Peach` is provided. This new cultivar was the result of a controlled breeding program wherein a plant designated `6468-2` (non-patented in the United States) was pollinated by a plant designated `380` (non-patented in the United States). The new cultivar forms large soft peach colored flowers having an eye of fuchsia and white that display an iridescent appearance. The foliage is dark bronze-green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `Bonfire Orange` cultivar (U.S. Plant Pat. No. 8,398).. New Guinea Impatiens named `BFP-650 Peach`",2000,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP10108,predicted,0,unknown,0.490046948194504,0,72
peach,PP10108,"A new and distinct New Guinea Impatiens cultivar named `BFP-650 Peach` is provided. This new cultivar was the result of a controlled breeding program wherein a plant designated `6468-2` (non-patented in the United States) was pollinated by a plant designated `380` (non-patented in the United States). The new cultivar forms large soft peach colored flowers having an eye of fuchsia and white that display an iridescent appearance. The foliage is dark bronze-green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `Bonfire Orange` cultivar (U.S. Plant Pat. No. 8,398).",1997-11-04,New Guinea Impatiens named `BFP-650 Peach`,plant,1997,Ball Horticultural Company,08685536,08/685536,NA,17] NA,17043] NA,US] NA,-88.204] NA,41.8848] NA,West Chicago] NA,644] NA,PP11486] PP12090] NA,New Guinea Impatiens plant named `BFP-796`] New Guinea impatiens plant named `Danharsal`] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,k8sl9nitp4a1aufcn5i7et1bm,5261d4092feb7e1ae6547de089e7b927,NA,NA,NA,NA,NA,NA,"A new and distinct New Guinea Impatiens cultivar named `BFP-650 Peach` is provided. This new cultivar was the result of a controlled breeding program wherein a plant designated `6468-2` (non-patented in the United States) was pollinated by a plant designated `380` (non-patented in the United States). The new cultivar forms large soft peach colored flowers having an eye of fuchsia and white that display an iridescent appearance. The foliage is dark bronze-green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `Bonfire Orange` cultivar (U.S. Plant Pat. No. 8,398).. New Guinea Impatiens named `BFP-650 Peach`",2000,,,,peach,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP10108,predicted,0,unknown,0.490046948194504,0,72
peach,PP10108,"A new and distinct New Guinea Impatiens cultivar named `BFP-650 Peach` is provided. This new cultivar was the result of a controlled breeding program wherein a plant designated `6468-2` (non-patented in the United States) was pollinated by a plant designated `380` (non-patented in the United States). The new cultivar forms large soft peach colored flowers having an eye of fuchsia and white that display an iridescent appearance. The foliage is dark bronze-green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `Bonfire Orange` cultivar (U.S. Plant Pat. No. 8,398).",1997-11-04,New Guinea Impatiens named `BFP-650 Peach`,plant,1997,Ball Horticultural Company,08685536,08/685536,NA,17] NA,17043] NA,US] NA,-88.204] NA,41.8848] NA,West Chicago] NA,644] NA,PP11486] PP12090] NA,New Guinea Impatiens plant named `BFP-796`] New Guinea impatiens plant named `Danharsal`] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,k8sl9nitp4a1aufcn5i7et1bm,5261d4092feb7e1ae6547de089e7b927,NA,NA,NA,NA,NA,NA,"A new and distinct New Guinea Impatiens cultivar named `BFP-650 Peach` is provided. This new cultivar was the result of a controlled breeding program wherein a plant designated `6468-2` (non-patented in the United States) was pollinated by a plant designated `380` (non-patented in the United States). The new cultivar forms large soft peach colored flowers having an eye of fuchsia and white that display an iridescent appearance. The foliage is dark bronze-green in coloration. An attractive compact upright mounded growth habit is exhibited. The new cultivar can be readily distinguished from the `Bonfire Orange` cultivar (U.S. Plant Pat. No. 8,398).. New Guinea Impatiens named `BFP-650 Peach`",2000,,,,peach,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP10108,predicted,0,unknown,0.490046948194504,0,72
