crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
orange,PP13557,"A new and distinct cultivar of Hypericum plant named &#8216;Kolmgreen&#8217;, characterized by its upright and outwardly spreading plant habit; medium green leaves; green-colored fruits with brownish orange apices; and good postproduction longevity.",2003-02-11,Hypericum plant named &#8216;Kolmgreen&#8217;,plant,2003,KOLSTER HOLDING B.V.,10006810,,,,,NL,4.6736,52.0791,Boskoop,59,NA,NA,,,,,,,,,,"6847j756ia54c530r3ingossp, l6jgyo1b35ltbacivoeig0xn3",52d6e6c7eaf6b4abc9eb6a04e4ef1d62,,,,,,,"A new and distinct cultivar of Hypericum plant named &#8216;Kolmgreen&#8217;, characterized by its upright and outwardly spreading plant habit; medium green leaves; green-colored fruits with brownish orange apices; and good postproduction longevity.. Hypericum plant named &#8216;Kolmgreen&#8217;",2000,KOLSTER BV,17641,258239,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP13557,predicted,0,unknown,0.49509933590889,0,74
orange,PP13557,"A new and distinct cultivar of Hypericum plant named &#8216;Kolmgreen&#8217;, characterized by its upright and outwardly spreading plant habit; medium green leaves; green-colored fruits with brownish orange apices; and good postproduction longevity.",2003-02-11,Hypericum plant named &#8216;Kolmgreen&#8217;,plant,2003,KOLSTER HOLDING B.V.,10006810,,,,,NL,4.6736,52.0791,Boskoop,59,NA,NA,,,,,,,,,,"6847j756ia54c530r3ingossp, l6jgyo1b35ltbacivoeig0xn3",52d6e6c7eaf6b4abc9eb6a04e4ef1d62,,,,,,,"A new and distinct cultivar of Hypericum plant named &#8216;Kolmgreen&#8217;, characterized by its upright and outwardly spreading plant habit; medium green leaves; green-colored fruits with brownish orange apices; and good postproduction longevity.. Hypericum plant named &#8216;Kolmgreen&#8217;",2000,KOLSTER BV,17641,258239,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP13557,predicted,0,unknown,0.49509933590889,0,74
orange,PP13562,"A new and distinct variety of Dendrobium Plant named Stardust &#8216;Firebird&#8217;, is particularly characterized by its pure bright orange sepal and petal color and lip with bright yellow-orange and dark orange red checkered pattern, its economical propagation via tissue culture, its spring bloom and its small plant size which makes it suitable for packaging and shipment.",2003-02-18,Dendrobium plant named Stardust &#8216;Firebird&#8217;,plant,2003,,09542140,09/542140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3yszc2i8v25l3amievsnq7mid,eb3ffd02919a1cba6ee7babba852fad5,NA,NA,NA,NA,NA,NA,"A new and distinct variety of Dendrobium Plant named Stardust &#8216;Firebird&#8217;, is particularly characterized by its pure bright orange sepal and petal color and lip with bright yellow-orange and dark orange red checkered pattern, its economical propagation via tissue culture, its spring bloom and its small plant size which makes it suitable for packaging and shipment.. Dendrobium plant named Stardust &#8216;Firebird&#8217;",2000,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP13562,predicted,0,unknown,0.494540184736252,0,74
orange,PP13577,"A new and distinct Guzmania plant named &#8216;Depladia&#8217; characterized by compact plant shape; short, green leaves; compact flower shape and yellow inflorescences with green tips and orange-red at the very tips of the apex.",2003-02-18,Guzmania plant named &#8216;Depladia&#8217;,plant,2003,,10024193,10/024193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vcmpdu5j4vtm765cnclszwj6d,1910defa94caf5de27665d297d08adc4,NA,NA,NA,NA,NA,NA,"A new and distinct Guzmania plant named &#8216;Depladia&#8217; characterized by compact plant shape; short, green leaves; compact flower shape and yellow inflorescences with green tips and orange-red at the very tips of the apex.. Guzmania plant named &#8216;Depladia&#8217;",2000,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP13577,predicted,0,unknown,0.491489768028259,0,74
orange,PP13582,"A new and distinct cultivar of Rose plant named &#8216;Kolamaz&#8217;, characterized by its upright and outwardly spreading plant habit; dark green leaflets; sparse thorns; single purple-colored flowers; orange red-colored fruits; and good postproduction longevity.",2003-02-18,Rose plant named &#8216;Kolamaz&#8217;,plant,2003,Gebr. Kolster B.V.,10006842,10/006842,NA,NA,NA,NL] NA,4.66312] NA,52.0742] NA,Boskoop] NA,29] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33aew5hq4e9qcmxwkzqpjjrny] p852p0huswfh8m3nqir7xek2s,52d6e6c7eaf6b4abc9eb6a04e4ef1d62,NA,NA,NA,NA,NA,NA,"A new and distinct cultivar of Rose plant named &#8216;Kolamaz&#8217;, characterized by its upright and outwardly spreading plant habit; dark green leaflets; sparse thorns; single purple-colored flowers; orange red-colored fruits; and good postproduction longevity.. Rose plant named &#8216;Kolamaz&#8217;",2000,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP13582,predicted,0,unknown,0.490011423826218,0,74
orange,PP13582,"A new and distinct cultivar of Rose plant named &#8216;Kolamaz&#8217;, characterized by its upright and outwardly spreading plant habit; dark green leaflets; sparse thorns; single purple-colored flowers; orange red-colored fruits; and good postproduction longevity.",2003-02-18,Rose plant named &#8216;Kolamaz&#8217;,plant,2003,Gebr. Kolster B.V.,10006842,10/006842,NA,NA,NA,NL] NA,4.66312] NA,52.0742] NA,Boskoop] NA,29] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33aew5hq4e9qcmxwkzqpjjrny] p852p0huswfh8m3nqir7xek2s,52d6e6c7eaf6b4abc9eb6a04e4ef1d62,NA,NA,NA,NA,NA,NA,"A new and distinct cultivar of Rose plant named &#8216;Kolamaz&#8217;, characterized by its upright and outwardly spreading plant habit; dark green leaflets; sparse thorns; single purple-colored flowers; orange red-colored fruits; and good postproduction longevity.. Rose plant named &#8216;Kolamaz&#8217;",2000,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP13582,predicted,0,unknown,0.490011423826218,0,74
orange,PP13582,"A new and distinct cultivar of Rose plant named &#8216;Kolamaz&#8217;, characterized by its upright and outwardly spreading plant habit; dark green leaflets; sparse thorns; single purple-colored flowers; orange red-colored fruits; and good postproduction longevity.",2003-02-18,Rose plant named &#8216;Kolamaz&#8217;,plant,2003,KOLSTER HOLDING B.V.,10006842,,,,,NL,4.6736,52.0791,Boskoop,59,NA,NA,,,,,,,,,,"33aew5hq4e9qcmxwkzqpjjrny, p852p0huswfh8m3nqir7xek2s",52d6e6c7eaf6b4abc9eb6a04e4ef1d62,,,,,,,"A new and distinct cultivar of Rose plant named &#8216;Kolamaz&#8217;, characterized by its upright and outwardly spreading plant habit; dark green leaflets; sparse thorns; single purple-colored flowers; orange red-colored fruits; and good postproduction longevity.. Rose plant named &#8216;Kolamaz&#8217;",2000,KOLSTER BV,17641,258239,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP13582,predicted,0,unknown,0.490011423826218,0,74
orange,PP13582,"A new and distinct cultivar of Rose plant named &#8216;Kolamaz&#8217;, characterized by its upright and outwardly spreading plant habit; dark green leaflets; sparse thorns; single purple-colored flowers; orange red-colored fruits; and good postproduction longevity.",2003-02-18,Rose plant named &#8216;Kolamaz&#8217;,plant,2003,KOLSTER HOLDING B.V.,10006842,,,,,NL,4.6736,52.0791,Boskoop,59,NA,NA,,,,,,,,,,"33aew5hq4e9qcmxwkzqpjjrny, p852p0huswfh8m3nqir7xek2s",52d6e6c7eaf6b4abc9eb6a04e4ef1d62,,,,,,,"A new and distinct cultivar of Rose plant named &#8216;Kolamaz&#8217;, characterized by its upright and outwardly spreading plant habit; dark green leaflets; sparse thorns; single purple-colored flowers; orange red-colored fruits; and good postproduction longevity.. Rose plant named &#8216;Kolamaz&#8217;",2000,KOLSTER BV,17641,258239,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP13582,predicted,0,unknown,0.490011423826218,0,74
peach,PP13583,"A new and distinct variety of peach tree (Prunus persica), which is denominated varietally as &#8216;Burpeachthirteen&#8217;, and which produces an attractively colored yellow-fleshed, freestone peach which is mature for harvesting and shipment approximately September 19 to September 26 under ecological conditions prevailing in the San Joaquin Valley of Central California.",2003-02-18,Peach tree named &#8216;Burpeachthirteen&#8217;,plant,2003,"The Burchell Nursery, Inc.",10059858,10/059858,NA,06] NA,06099] NA,US] NA,-120.847] NA,37.7666] NA,Oakdale] NA,83] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dwhkn5h66ds50on5dy99mygk4] ofx6elhtss62aigqjboc9ui8m,1a9f8ff54af7cf908e0fae842ddb7e58,NA,NA,NA,NA,NA,NA,"A new and distinct variety of peach tree (Prunus persica), which is denominated varietally as &#8216;Burpeachthirteen&#8217;, and which produces an attractively colored yellow-fleshed, freestone peach which is mature for harvesting and shipment approximately September 19 to September 26 under ecological conditions prevailing in the San Joaquin Valley of Central California.. Peach tree named &#8216;Burpeachthirteen&#8217;",2000,,,,peach,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP13583,predicted,0,unknown,0.490521371364594,0,74
orange,PP13587,"A new and distinct cultivar of Kalanchoe plant named &#8216;Soret&#8217;, characterized by its numerous, large, and orange-colored flowers; upright and uniform plant habit; freely branching growth habit; dark green and glossy leaves; early flowering; and excellent postproduction longevity.",2003-02-18,Kalanchoe plant named &#8216;Soret&#8217;,plant,2003,Fides Goldstock Breeding B.V.,10014458,10/014458,NA,NA,NA,NL] NA,4.27403] NA,51.9367] NA,Maasland] NA,43] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c85d1xmza846z7ymw99768j13] kp9l3v8nysk5pdmzari1f50uu,52d6e6c7eaf6b4abc9eb6a04e4ef1d62,NA,NA,NA,NA,NA,NA,"A new and distinct cultivar of Kalanchoe plant named &#8216;Soret&#8217;, characterized by its numerous, large, and orange-colored flowers; upright and uniform plant habit; freely branching growth habit; dark green and glossy leaves; early flowering; and excellent postproduction longevity.. Kalanchoe plant named &#8216;Soret&#8217;",2000,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP13587,predicted,0,unknown,0.491550236940384,0,74
