crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
LETTUCE,007100001,,,,PVP,1973,Nunhems B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Ice. NA. LETTUCE,1970,,,,lettuce,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/007100001.pdf,,,,,,0
CHINA ASTER,007100002,,,,PVP,1974,W. Atlee Burpee Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Totem Pole White. Totem Pole White. CHINA ASTER,1970,,,,china aster,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/007100002.pdf,,,,,,0
CHINA ASTER,007100003,,,,PVP,1974,W. Atlee Burpee Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Totem Pole Rose-Pink. Totem Pole Rose-Pink. CHINA ASTER,1970,,,,china aster,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/007100003.pdf,,,,,,0
CHINA ASTER,007100004,,,,PVP,1974,W. Atlee Burpee Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Totem Pole Scarlet-Cerise. Totem Pole Scarlet-Cerise. CHINA ASTER,1970,,,,china aster,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/007100004.pdf,,,,,,0
CHINA ASTER,007100005,,,,PVP,1974,W. Atlee Burpee Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Totem Pole Azure Blue. Totem Pole Azure Blue. CHINA ASTER,1970,,,,china aster,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/007100005.pdf,,,,,,0
CHINA ASTER,007100006,,,,PVP,1974,W. Atlee Burpee Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Totem Pole Dark Blue. Totem Pole Dark Blue. CHINA ASTER,1970,,,,china aster,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/007100006.pdf,,,,,,0
"VERBENA, ANNUAL",007100009,,,,PVP,1975,W. Atlee Burpee Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruffled White. Ruffled White. VERBENA, ANNUAL",1980,,,,verbena,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/007100009.pdf,,,,,,0
MARIGOLD,007100010,,,,PVP,1975,W. Atlee Burpee Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Redcoat. NA. MARIGOLD,1980,,,,marigold,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/007100010.pdf,,,,,,0
SOYBEAN,007100016,,,,PVP,1973,"Soybean Research Foundation, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRF 100. NA. SOYBEAN,1970,,,,soybean,soy,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/007100016.pdf,,,,,,0
SOYBEAN,007100019,,,,PVP,1973,"Soybean Research Foundation, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRF 400. NA. SOYBEAN,1970,,,,soybean,soy,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/007100019.pdf,,,,,,0
