crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
cherry,PP17554,"A new and distinct cultivar of New Guinea Impatiens plant named ‘Fisco Cher’, characterized by its relatively compact, outwardly spreading and uniformly mounded plant habit; rounded growth habit; freely branching and freely flowering habit; dark green-colored foliage; large dark cherry red-colored flowers; and flowers that are positioned above or beyond the foliage.",2007-04-03,New Guinea Impatiens plant named ‘Fisco Cher’,plant,2007,,11241394,11/241394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ean7saw7uuggf1mn05ibrjf9n] mzmabvlw8h643zs2g8eb7wyjt,52d6e6c7eaf6b4abc9eb6a04e4ef1d62,NA,NA,NA,NA,NA,NA,"A new and distinct cultivar of New Guinea Impatiens plant named ‘Fisco Cher’, characterized by its relatively compact, outwardly spreading and uniformly mounded plant habit; rounded growth habit; freely branching and freely flowering habit; dark green-colored foliage; large dark cherry red-colored flowers; and flowers that are positioned above or beyond the foliage.. New Guinea Impatiens plant named ‘Fisco Cher’",2010,,,,cherry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP17554,predicted,0,unknown,0.491320848464966,0,76
lavender,PP17564,"A new and distinct cultivar of Chrysanthemum plant named ‘Yooceanna’, characterized by its uniform and somewhat outwardly spreading plant habit; strong and freely branching growth habit; dark green-colored foliage; uniform flowering response and habit; can be grown as a spray-type or without bud removal; early flowering habit; daisy-type inflorescences with spoon-shaped ray florets; lavender-colored ray florets; and good postproduction longevity with plants maintaining good substance and color for about three weeks in an interior environment.",2007-04-03,Chrysanthemum plant named ‘Yooceanna’,plant,2007,"Yoder Brothers, Inc.",11157310,,,39,39153,US,-81.6065,41.009,Barberton,998,NA,NA,,,,,,,,,,"30oys8cnqbw72icywroag8aye, 7mwblakvfiw45zziwxpn3v2m0",52d6e6c7eaf6b4abc9eb6a04e4ef1d62,,,,,,,"A new and distinct cultivar of Chrysanthemum plant named ‘Yooceanna’, characterized by its uniform and somewhat outwardly spreading plant habit; strong and freely branching growth habit; dark green-colored foliage; uniform flowering response and habit; can be grown as a spray-type or without bud removal; early flowering habit; daisy-type inflorescences with spoon-shaped ray florets; lavender-colored ray florets; and good postproduction longevity with plants maintaining good substance and color for about three weeks in an interior environment.. Chrysanthemum plant named ‘Yooceanna’",2010,"Yoder Brothers, Inc.",9242,100718,lavender,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP17564,predicted,0,unknown,0.492797762155533,0,76
lavender,PP17568,"A new and distinct cultivar of Chrysanthemum plant named ‘Yomelanie’, characterized by its upright and outwardly spreading plant habit; freely branching habit; dense and full plant height; uniform and freely flowering habit; daisy-type inflorescences with elongated oblong-shaped ray florets; lavender purple-colored ray florets; and natural season flowering in early to mid-October in the Northern Hemisphere.",2007-04-03,Chrysanthemum plant named ‘Yomelanie’,plant,2007,"Yoder Brothers, Inc.",11157311,,,39,39153,US,-81.6065,41.009,Barberton,998,NA,NA,,,,,,,,,,"1gexgmkhnw0b1ek44kss2132x, kfa9b00erfdp861110lh2d2uy",52d6e6c7eaf6b4abc9eb6a04e4ef1d62,,,,,,,"A new and distinct cultivar of Chrysanthemum plant named ‘Yomelanie’, characterized by its upright and outwardly spreading plant habit; freely branching habit; dense and full plant height; uniform and freely flowering habit; daisy-type inflorescences with elongated oblong-shaped ray florets; lavender purple-colored ray florets; and natural season flowering in early to mid-October in the Northern Hemisphere.. Chrysanthemum plant named ‘Yomelanie’",2010,"Yoder Brothers, Inc.",9242,50654,lavender,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP17568,predicted,0,unknown,0.48833629488945,0,76
orange,PP17572,"A new and distinct cultivar of Calibrachoa plant named ‘Sunbelore’, characterized by its upright, outwardly spreading and mounding plant habit; vigorous growth habit; freely branching habit; freely flowering habit; long flowering period; orange-colored flowers with dark orange-colored centers; and good weather tolerance.",2007-04-03,Calibrachoa plant named ‘Sunbelore’,plant,2007,SUNTORY FLOWERS LIMITED,11259235,11/259235,NA,NA,NA,JP] NA,139.759] NA,35.6828] NA,Tokyo] NA,441] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m8txncqax6x43g5u4czu0isho] zvkzmt7ekodnu6yn3zylyigk4,52d6e6c7eaf6b4abc9eb6a04e4ef1d62,NA,NA,NA,NA,NA,NA,"A new and distinct cultivar of Calibrachoa plant named ‘Sunbelore’, characterized by its upright, outwardly spreading and mounding plant habit; vigorous growth habit; freely branching habit; freely flowering habit; long flowering period; orange-colored flowers with dark orange-colored centers; and good weather tolerance.. Calibrachoa plant named ‘Sunbelore’",2010,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP17572,predicted,0,unknown,0.488856613636017,0,76
orange,PP17575,A new and distinct Begonia plant having dark red flowers with orange undertones that exhibits good outdoor and garden performance.,2007-04-03,Variety of Begonia plant named ‘Solenia Super Red Orange’,plant,2007,Ernst Benary Samenzucht GmbH,11369242,11/369242,NA,NA,NA,DE] NA,9.65501] NA,51.4162] NA,Hann. Münden] NA,19] NA,11032987] NA,Begonia hybrid ‘green leaf white 1605-01T1’] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5utmauhsscf12kkht3q1k7t5f] s024iyuvtmwqedns4ducz8v9y,b7311163ae31283756ba34bd2daf2b69,NA,NA,NA,NA,NA,NA,A new and distinct Begonia plant having dark red flowers with orange undertones that exhibits good outdoor and garden performance.. Variety of Begonia plant named ‘Solenia Super Red Orange’,2010,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP17575,predicted,0,unknown,0.493512719869614,0,76
orange,PP17577,"A new and distinct cultivar of Hibiscus plant named ‘ENLIGHTENMENT’, characterized by a large, ruffled, multicolored flower with a pink center, an orange halo and yellow edges, with white flecks throughout the center. ‘ENLIGHTENMENT’ is a free flowering plant with an upright, compact habit, and glossy, dark green foliage.",2007-04-10,Hibiscus rosa-sinensis plant named ‘ENLIGHTENMENT’,plant,2007,"Hines Nurseries, Inc.",11207517,11/207517,NA,06] NA,06059] NA,US] NA,-117.826] NA,33.6857] NA,Irvine] NA,52] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2ommjt2k3j0wcoqh8on8f2z7m,de14bb544abc2c612024ba82336d7ab4,NA,NA,NA,NA,NA,NA,"A new and distinct cultivar of Hibiscus plant named ‘ENLIGHTENMENT’, characterized by a large, ruffled, multicolored flower with a pink center, an orange halo and yellow edges, with white flecks throughout the center. ‘ENLIGHTENMENT’ is a free flowering plant with an upright, compact habit, and glossy, dark green foliage.. Hibiscus rosa-sinensis plant named ‘ENLIGHTENMENT’",2010,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP17577,predicted,0,unknown,0.494501411914825,0,76
peach,PP17578,"A new and distinct variety of peach, Prunus persica, tree having the following unique combination of desirable features:",2007-04-10,Peach tree named “P.F. 19-007”,plant,2007,,10702922,10/702922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hjwu1hvxraq7aeiof2e9d2ivf] khph20f5cogmab3wdezfmutsg,NA,NA,NA,NA,NA,NA,NA,"A new and distinct variety of peach, Prunus persica, tree having the following unique combination of desirable features:. Peach tree named “P.F. 19-007”",2010,,,,peach,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP17578,predicted,0,unknown,0.488545954227448,0,76
nectarine,PP17579,"A new and distinct variety of nectarine tree, denominated ‘Nectarmagie’, has fruit of very long shelf life without alteration after harvesting, a semi-sweet white flesh of high eating quality and an attractive, very high percentage red skin. The tree is of medium size and is vigorous. Moreover fruit can be consumed crunchy or at maturity.",2007-04-10,Nectarine tree named ‘Nectarmagie’,plant,2007,AGRO SELECTION FRUITS,11115223,,,,,FR,2.96854,42.6082,Elne,47,PP24490,Peach tree named ‘FLATOP’,,,,,,,,,,"qkntk7u7zhpr5tmnh1uce3wxh, yydqfsawyvaxdn0weyty9gf43",29e14a153693f14b2cfc6c3cc75812d5,,,,,,,"A new and distinct variety of nectarine tree, denominated ‘Nectarmagie’, has fruit of very long shelf life without alteration after harvesting, a semi-sweet white flesh of high eating quality and an attractive, very high percentage red skin. The tree is of medium size and is vigorous. Moreover fruit can be consumed crunchy or at maturity.. Nectarine tree named ‘Nectarmagie’",2010,Agro Selectrions Fruits,44677,"77389, 192553",nectarine,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP17579,predicted,0,unknown,0.489580541849136,0,76
nectarine,PP17579,"A new and distinct variety of nectarine tree, denominated ‘Nectarmagie’, has fruit of very long shelf life without alteration after harvesting, a semi-sweet white flesh of high eating quality and an attractive, very high percentage red skin. The tree is of medium size and is vigorous. Moreover fruit can be consumed crunchy or at maturity.",2007-04-10,Nectarine tree named ‘Nectarmagie’,plant,2007,AGRO SELECTION FRUITS,11115223,,,,,FR,2.96854,42.6082,Elne,47,PP24490,Peach tree named ‘FLATOP’,,,,,,,,,,"qkntk7u7zhpr5tmnh1uce3wxh, yydqfsawyvaxdn0weyty9gf43",29e14a153693f14b2cfc6c3cc75812d5,,,,,,,"A new and distinct variety of nectarine tree, denominated ‘Nectarmagie’, has fruit of very long shelf life without alteration after harvesting, a semi-sweet white flesh of high eating quality and an attractive, very high percentage red skin. The tree is of medium size and is vigorous. Moreover fruit can be consumed crunchy or at maturity.. Nectarine tree named ‘Nectarmagie’",2010,Agro Selectrions Fruits,44677,"77389, 192553",nectarine,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP17579,predicted,0,unknown,0.489580541849136,0,76
nectarine,PP17579,"A new and distinct variety of nectarine tree, denominated ‘Nectarmagie’, has fruit of very long shelf life without alteration after harvesting, a semi-sweet white flesh of high eating quality and an attractive, very high percentage red skin. The tree is of medium size and is vigorous. Moreover fruit can be consumed crunchy or at maturity.",2007-04-10,Nectarine tree named ‘Nectarmagie’,plant,2007,S.A.R.L. Agro Selection Fruits,11115223,11/115223,NA,NA,NA,FR] NA,3.03008] NA,42.549] NA,Argelès-sur-Mer] NA,46] NA,PP24490] NA,Peach tree named ‘FLATOP’] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,qkntk7u7zhpr5tmnh1uce3wxh] yydqfsawyvaxdn0weyty9gf43,29e14a153693f14b2cfc6c3cc75812d5,NA,NA,NA,NA,NA,NA,"A new and distinct variety of nectarine tree, denominated ‘Nectarmagie’, has fruit of very long shelf life without alteration after harvesting, a semi-sweet white flesh of high eating quality and an attractive, very high percentage red skin. The tree is of medium size and is vigorous. Moreover fruit can be consumed crunchy or at maturity.. Nectarine tree named ‘Nectarmagie’",2010,,,,nectarine,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP17579,predicted,0,unknown,0.489580541849136,0,76
