crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
raspberry,PP28666,"A new and distinct red raspberry cultivar distinguished by its moderate to high yields of large, bright-red-colored, firm, conic, sweet, flavorful fruit with excellent fresh fruit quality borne on primocanes in late summer",2017-11-21,Red raspberry plant named ‘KOKANEE’,plant,2017,"THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY OF AGRICULTURE",14999027,,,11,11001,US,-76.9879,38.8937,Washington,2723,NA,NA,,,,,,,,,,ag7s7ss2h12kxj8m2equ7eoxg,"2b1c273780fc142456cafb9e787da356, 3d1c97c717486d749ec1fa0cccce9847",,,,,,,"A new and distinct red raspberry cultivar distinguished by its moderate to high yields of large, bright-red-colored, firm, conic, sweet, flavorful fruit with excellent fresh fruit quality borne on primocanes in late summer. Red raspberry plant named ‘KOKANEE’",2020,USDA,1777,2058890,raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP28666,predicted,0,unknown,0.492581188678742,0,83
raspberry,PP28666,"A new and distinct red raspberry cultivar distinguished by its moderate to high yields of large, bright-red-colored, firm, conic, sweet, flavorful fruit with excellent fresh fruit quality borne on primocanes in late summer",2017-11-21,Red raspberry plant named ‘KOKANEE’,plant,2017,"The United States of America, as represented by the Secretary of Agriculture",14999027,14/999027,NA,11] NA,11001] NA,US] NA,-77.0365] NA,38.895] NA,Washington] NA,2423] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ag7s7ss2h12kxj8m2equ7eoxg,2b1c273780fc142456cafb9e787da356] 3d1c97c717486d749ec1fa0cccce9847,NA,NA,NA,NA,NA,NA,"A new and distinct red raspberry cultivar distinguished by its moderate to high yields of large, bright-red-colored, firm, conic, sweet, flavorful fruit with excellent fresh fruit quality borne on primocanes in late summer. Red raspberry plant named ‘KOKANEE’",2020,,,,raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP28666,predicted,0,unknown,0.492581188678742,0,83
raspberry,PP28666,"A new and distinct red raspberry cultivar distinguished by its moderate to high yields of large, bright-red-colored, firm, conic, sweet, flavorful fruit with excellent fresh fruit quality borne on primocanes in late summer",2017-11-21,Red raspberry plant named ‘KOKANEE’,plant,2017,"The United States of America, as represented by the Secretary of Agriculture",14999027,14/999027,NA,11] NA,11001] NA,US] NA,-77.0365] NA,38.895] NA,Washington] NA,2423] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ag7s7ss2h12kxj8m2equ7eoxg,2b1c273780fc142456cafb9e787da356] 3d1c97c717486d749ec1fa0cccce9847,NA,NA,NA,NA,NA,NA,"A new and distinct red raspberry cultivar distinguished by its moderate to high yields of large, bright-red-colored, firm, conic, sweet, flavorful fruit with excellent fresh fruit quality borne on primocanes in late summer. Red raspberry plant named ‘KOKANEE’",2020,,,,raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP28666,predicted,0,unknown,0.492581188678742,0,83
lavender,PP28671,"A new Clematis plant with a compact growth habit, profuse, lavender purple flowers with a distinct purple central bar, and continuous summer flowering. The variety successfully propagates from softwood cuttings and is suitable for cultivation in commercial nursery culture. This new and distinct variety has shown to be uniform and stable in the resulting generations from asexual propagation from vegetative cuttings.",2017-11-21,Clematis plant named ‘Evipo059’,plant,2017,Poulsen Roser A/S,14756263,14/756263,NA,NA,NA,DK] NA,12.4051] NA,55.974] NA,Fredensborg] NA,487] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25bfodn636xeisazomvybr4av,NA,NA,NA,NA,NA,NA,NA,"A new Clematis plant with a compact growth habit, profuse, lavender purple flowers with a distinct purple central bar, and continuous summer flowering. The variety successfully propagates from softwood cuttings and is suitable for cultivation in commercial nursery culture. This new and distinct variety has shown to be uniform and stable in the resulting generations from asexual propagation from vegetative cuttings.. Clematis plant named ‘Evipo059’",2020,,,,lavender,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP28671,predicted,0,unknown,0.490694016218185,0,83
lavender,PP28679,"A new and unique cultivar of garden phlox named Phlox ‘Fashionably Early Crystal’ multi-stemmed, compact, slowly-spreading habit with bright-green, glossy, lanceolate leaves. Flowers are sweetly-fragrant, producing sweetly-fragrant, initially very light lavender-pink flower faces becoming white with light purple eye zones beginning the second week of June, continuing for about five weeks and repeating through mid-fall. Foliage stays clean and resists mildew.",2017-11-21,Phlox plant named ‘Fashionably Early Crystal’,plant,2017,"Walters Gardens, Inc.",15530082,15/530082,NA,26] NA,26139] NA,US] NA,-86.0288] NA,42.8124] NA,Zeeland] NA,494] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,v71xwfjsurr72p9d499e0v1db,NA,NA,NA,NA,NA,NA,NA,"A new and unique cultivar of garden phlox named Phlox ‘Fashionably Early Crystal’ multi-stemmed, compact, slowly-spreading habit with bright-green, glossy, lanceolate leaves. Flowers are sweetly-fragrant, producing sweetly-fragrant, initially very light lavender-pink flower faces becoming white with light purple eye zones beginning the second week of June, continuing for about five weeks and repeating through mid-fall. Foliage stays clean and resists mildew.. Phlox plant named ‘Fashionably Early Crystal’",2020,,,,lavender,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP28679,predicted,0,unknown,0.486490845680237,0,83
plum,PP28687,"A new cultivar of hybrid Heuchera named ‘Plum Power’, characterized by its unique foliage with leaves that are purple in color with a silver sheen, its large leaves, and its re-blooming habit; blooming from April to November in The Netherlands.",2017-11-21,Heuchera plant named ‘Plum Power’,plant,2017,,14757235,14/757235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75q4hefizwy1obpj7erv7rb8m,f6bc46a1e23723dd27221998a8b6434c,NA,NA,NA,NA,NA,NA,"A new cultivar of hybrid Heuchera named ‘Plum Power’, characterized by its unique foliage with leaves that are purple in color with a silver sheen, its large leaves, and its re-blooming habit; blooming from April to November in The Netherlands.. Heuchera plant named ‘Plum Power’",2020,,,,plum,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP28687,predicted,0,unknown,0.492081761360169,0,83
strawberry,PP28692,The present invention provides a new and distinct strawberry plant designated as ‘Playa’ (a.k.a. ‘108926’).,2017-11-28,Strawberry plant named ‘Playa’,plant,2017,"Sweet Darling Sales, Inc.",14545385,14/545385,NA,06] NA,06087] NA,US] NA,-121.954] NA,36.9763] NA,Capitola] NA,26] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,io6xrtpg2b42wr80kl3k3b6qj,a32e72f4aefeeb09fbf7f235d8b660a2,NA,NA,NA,NA,NA,NA,The present invention provides a new and distinct strawberry plant designated as ‘Playa’ (a.k.a. ‘108926’).. Strawberry plant named ‘Playa’,2020,,,,strawberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP28692,predicted,0,unknown,0.491898059844971,0,83
orange,PP28695,"A new and distinct Physocarpus cultivar named ‘SMNPOBLR’ is disclosed, characterized by a good mildew resistance, bright red stems, white flowers, lightly flushed pink that age to bright red seed capsules, and very strong red/orange spring leaf flush that turn to dark maroon for the summer. The new variety is a Physocarpus, normally produced as an outdoor garden or container plant.",2017-11-28,Physocarpus plant named ‘SMNPOBLR’,plant,2017,Spring Meadow Nursery,14756874,14/756874,NA,26] NA,26139] NA,US] NA,-86.2284] NA,43.0631] NA,Grand Haven] NA,311] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c8p9imvqo1gil0ocxbbrwcqkc,81363721dab58ee1d0dd474ecd7d1465,NA,NA,NA,NA,NA,NA,"A new and distinct Physocarpus cultivar named ‘SMNPOBLR’ is disclosed, characterized by a good mildew resistance, bright red stems, white flowers, lightly flushed pink that age to bright red seed capsules, and very strong red/orange spring leaf flush that turn to dark maroon for the summer. The new variety is a Physocarpus, normally produced as an outdoor garden or container plant.. Physocarpus plant named ‘SMNPOBLR’",2020,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP28695,predicted,0,unknown,0.487210184335709,0,83
orange,PP28695,"A new and distinct Physocarpus cultivar named ‘SMNPOBLR’ is disclosed, characterized by a good mildew resistance, bright red stems, white flowers, lightly flushed pink that age to bright red seed capsules, and very strong red/orange spring leaf flush that turn to dark maroon for the summer. The new variety is a Physocarpus, normally produced as an outdoor garden or container plant.",2017-11-28,Physocarpus plant named ‘SMNPOBLR’,plant,2017,Spring Meadow Nursery,14756874,14/756874,NA,26] NA,26139] NA,US] NA,-86.2284] NA,43.0631] NA,Grand Haven] NA,311] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c8p9imvqo1gil0ocxbbrwcqkc,81363721dab58ee1d0dd474ecd7d1465,NA,NA,NA,NA,NA,NA,"A new and distinct Physocarpus cultivar named ‘SMNPOBLR’ is disclosed, characterized by a good mildew resistance, bright red stems, white flowers, lightly flushed pink that age to bright red seed capsules, and very strong red/orange spring leaf flush that turn to dark maroon for the summer. The new variety is a Physocarpus, normally produced as an outdoor garden or container plant.. Physocarpus plant named ‘SMNPOBLR’",2020,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP28695,predicted,0,unknown,0.487210184335709,0,83
orange,PP28695,"A new and distinct Physocarpus cultivar named ‘SMNPOBLR’ is disclosed, characterized by a good mildew resistance, bright red stems, white flowers, lightly flushed pink that age to bright red seed capsules, and very strong red/orange spring leaf flush that turn to dark maroon for the summer. The new variety is a Physocarpus, normally produced as an outdoor garden or container plant.",2017-11-28,Physocarpus plant named ‘SMNPOBLR’,plant,2017,Spring Meadow Nursery Inc.,14756874,,,26,26139,US,-86.227,43.052,Grand Haven,297,NA,NA,,,,,,,,,,c8p9imvqo1gil0ocxbbrwcqkc,81363721dab58ee1d0dd474ecd7d1465,,,,,,,"A new and distinct Physocarpus cultivar named ‘SMNPOBLR’ is disclosed, characterized by a good mildew resistance, bright red stems, white flowers, lightly flushed pink that age to bright red seed capsules, and very strong red/orange spring leaf flush that turn to dark maroon for the summer. The new variety is a Physocarpus, normally produced as an outdoor garden or container plant.. Physocarpus plant named ‘SMNPOBLR’",2020,Spring Meadow Nursery Inc.,16272,41222,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP28695,predicted,0,unknown,0.487210184335709,0,83
