crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
blueberry,PP8083,"Description and specifications of a new and distinct rabbiteye blueberry variety which originated from seed produced by a hand-pollinated cross of Florida 79-19 and Florida 79-27 is provided. The new rabbiteye blueberry variety can be distinguished from all others by its low chilling requirement, its early flowering, and its early ripening, and by its high-quality fruit that can be mechanically harvested for the fresh market.",1993-01-05,Rabbiteye blueberry cultivar Windy,plant,1993,"University of Florida Research Foundation, Inc.",07640192,,,12,12001,US,-82.3191,29.6881,Gainesville,4078,"PP10788, PP9098","Blueberry plant named `Santa Fe`, Blueberry: Crystal Blue",,,,,,,,,,2v0j6k6z8b7mv3zwbnhfwhuy2,5340aacaa1993c17315ace3f9979c498,,,,,,,"Description and specifications of a new and distinct rabbiteye blueberry variety which originated from seed produced by a hand-pollinated cross of Florida 79-19 and Florida 79-27 is provided. The new rabbiteye blueberry variety can be distinguished from all others by its low chilling requirement, its early flowering, and its early ripening, and by its high-quality fruit that can be mechanically harvested for the fresh market.. Rabbiteye blueberry cultivar Windy",1990,"University of Florida Research Foundation, Inc.",493,37497,blueberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP8083,predicted,0,unknown,0.497685611248016,0,89
blueberry,PP8083,"Description and specifications of a new and distinct rabbiteye blueberry variety which originated from seed produced by a hand-pollinated cross of Florida 79-19 and Florida 79-27 is provided. The new rabbiteye blueberry variety can be distinguished from all others by its low chilling requirement, its early flowering, and its early ripening, and by its high-quality fruit that can be mechanically harvested for the fresh market.",1993-01-05,Rabbiteye blueberry cultivar Windy,plant,1993,"University of Florida Research Foundation, Inc.",07640192,,,12,12001,US,-82.3191,29.6881,Gainesville,4078,"PP10788, PP9098","Blueberry plant named `Santa Fe`, Blueberry: Crystal Blue",,,,,,,,,,2v0j6k6z8b7mv3zwbnhfwhuy2,5340aacaa1993c17315ace3f9979c498,,,,,,,"Description and specifications of a new and distinct rabbiteye blueberry variety which originated from seed produced by a hand-pollinated cross of Florida 79-19 and Florida 79-27 is provided. The new rabbiteye blueberry variety can be distinguished from all others by its low chilling requirement, its early flowering, and its early ripening, and by its high-quality fruit that can be mechanically harvested for the fresh market.. Rabbiteye blueberry cultivar Windy",1990,"University of Florida Research Foundation, Inc.",493,37497,blueberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP8083,predicted,0,unknown,0.497685611248016,0,89
blueberry,PP8083,"Description and specifications of a new and distinct rabbiteye blueberry variety which originated from seed produced by a hand-pollinated cross of Florida 79-19 and Florida 79-27 is provided. The new rabbiteye blueberry variety can be distinguished from all others by its low chilling requirement, its early flowering, and its early ripening, and by its high-quality fruit that can be mechanically harvested for the fresh market.",1993-01-05,Rabbiteye blueberry cultivar Windy,plant,1993,"University of Florida Research Foundation, Incorporated",07640192,07/640192,NA,12] NA,12001] NA,US] NA,-82.325] NA,29.652] NA,Gainesville] NA,1811] NA,PP10788] PP9098] NA,Blueberry plant named `Santa Fe`] Blueberry: Crystal Blue] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2v0j6k6z8b7mv3zwbnhfwhuy2,5340aacaa1993c17315ace3f9979c498,NA,NA,NA,NA,NA,NA,"Description and specifications of a new and distinct rabbiteye blueberry variety which originated from seed produced by a hand-pollinated cross of Florida 79-19 and Florida 79-27 is provided. The new rabbiteye blueberry variety can be distinguished from all others by its low chilling requirement, its early flowering, and its early ripening, and by its high-quality fruit that can be mechanically harvested for the fresh market.. Rabbiteye blueberry cultivar Windy",1990,,,,blueberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP8083,predicted,0,unknown,0.497685611248016,0,89
blueberry,PP8083,"Description and specifications of a new and distinct rabbiteye blueberry variety which originated from seed produced by a hand-pollinated cross of Florida 79-19 and Florida 79-27 is provided. The new rabbiteye blueberry variety can be distinguished from all others by its low chilling requirement, its early flowering, and its early ripening, and by its high-quality fruit that can be mechanically harvested for the fresh market.",1993-01-05,Rabbiteye blueberry cultivar Windy,plant,1993,"University of Florida Research Foundation, Incorporated",07640192,07/640192,NA,12] NA,12001] NA,US] NA,-82.325] NA,29.652] NA,Gainesville] NA,1811] NA,PP10788] PP9098] NA,Blueberry plant named `Santa Fe`] Blueberry: Crystal Blue] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2v0j6k6z8b7mv3zwbnhfwhuy2,5340aacaa1993c17315ace3f9979c498,NA,NA,NA,NA,NA,NA,"Description and specifications of a new and distinct rabbiteye blueberry variety which originated from seed produced by a hand-pollinated cross of Florida 79-19 and Florida 79-27 is provided. The new rabbiteye blueberry variety can be distinguished from all others by its low chilling requirement, its early flowering, and its early ripening, and by its high-quality fruit that can be mechanically harvested for the fresh market.. Rabbiteye blueberry cultivar Windy",1990,,,,blueberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP8083,predicted,0,unknown,0.497685611248016,0,89
peach,PP8085,"The new and distinct variety relates to a peach tree which has the following unique combination of desirable features: PA0 1. Production of fruit with excellent flavor and eating quality. PA0 2. Heavy and regular production of fruit with large size. PA0 3. Vigorous, upright growth. PA0 4. Fruit with firm white flesh, good storage and shipping quality. PA0 5. Production of fruit with a high degree of attractive red skin color. PA0 6. Fruit ripening in the late maturity season.",1993-01-05,"""Peach tree """"Snow Giant""""""",plant,1993,,07750255,07/750255,NA,NA,NA,NA,NA,NA,NA,NA,PP8442] NA,"""Peach tree """"Sugar Giant""""""] NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,a7eo2h4jodx7hl1b175k1naps,NA,NA,NA,NA,NA,NA,NA,"The new and distinct variety relates to a peach tree which has the following unique combination of desirable features: PA0 1. Production of fruit with excellent flavor and eating quality. PA0 2. Heavy and regular production of fruit with large size. PA0 3. Vigorous, upright growth. PA0 4. Fruit with firm white flesh, good storage and shipping quality. PA0 5. Production of fruit with a high degree of attractive red skin color. PA0 6. Fruit ripening in the late maturity season.. ""Peach tree """"Snow Giant""""""",1990,,,,peach,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP8085,predicted,0,unknown,0.49291980266571,0,89
strawberry,PP8086,"This invention relates to a new and distinct day neutral type strawberry variety named `PSI-130`. The new variety produces a relatively high fruit yield, comparable to that of the standard cultivar `Selva`. The variety is characterized by its medium sized, light colored fruit which is smoother and more conic than that of `Selva`. The fruit shelf life is comparable to that of the standard cultivars `Selva` and `Muir`. The plant is similar in appearance to `Selva`, yet slightly less vigorous.",1993-01-05,Strawberry plant named `PSI-130`,plant,1993,"Coast Cooling, Inc.",07637112,07/637112,NA,06] NA,06087] NA,US] NA,-121.753] NA,36.9093] NA,Watsonville] NA,3] NA,PP11639] PP12899] PP27645] PP27682] PP27711] PP27813] PP29289] PP29728] PP29729] PP29730] PP29731] PP29747] PP29748] PP29749] PP30775] PP30789] PP30818] PP30851] PP30936] PP31083] PP31233] PP31527] PP31655] PP31703] PP31827] PP31896] PP31935] PP32079] PP32080] PP32271] PP32305] PP32498] PP32499] PP32500] PP32801] PP32814] PP32824] PP33070] PP33090] PP33283] PP33513] PP33737] PP33738] PP34072] PP34212] PP34241] PP34273] PP34274] PP9320] NA,Strawberry plant named `Alisal`] Strawberry plant named &#8216;San Juan&#8217;] Strawberry plant named ‘DrisStrawFortyFive’] Strawberry plant named ‘DrisStrawFortyNine’] Strawberry plant named ‘DrisStrawFortySix’] Strawberry plant named ‘DrisStrawFortySeven’] Strawberry plant named ‘DrisStrawFifty’] Strawberry plant variety named ‘DrisStrawFiftySeven’] Strawberry plant variety named ‘DrisStrawFiftyTwo’] Strawberry plant variety named ‘DrisStrawFiftyOne’] Strawberry plant variety named ‘DrisStrawFiftySix’] Strawberry plant variety named ‘DrisStrawFiftyFive’] Strawberry plant variety named ‘DrisStrawFiftyFour’] Strawberry plant variety named ‘DrisStrawFiftyThree’] Strawberry plant named ‘DrisStrawSixtyOne’] Strawberry plant variety named ‘DrisStrawSixty’] Strawberry plant variety named ‘DrisStrawSixtyFive’] Strawberry plant variety named ‘DrisStrawFiftyEight’] Strawberry plant variety named ‘DrisStrawSixtyFour’] Strawberry plant variety named ‘DrisStrawSixtyThree’] Strawberry plant variety named ‘DrisStrawFiftyNine’] Strawberry plant variety named ‘DrisStrawSixtyTwo’] Strawberry plant variety named ‘DrisStrawSeventyEight’] Strawberry plant named ‘DrisStrawSixtySix’] Strawberry plant variety named ‘DrisStrawSeventySix’] Strawberry plant named ‘DrisStrawSeventyTwo’] Strawberry plant named ‘DrisStrawSeventyFour’] Strawberry plant named ‘DrisStrawSixtyEight’] Strawberry plant named ‘DrisStrawSeventyFive’] Strawberry plant variety named ‘DrisStrawSeventySeven’] Strawberry plant named ‘DrisStrawSeventyThree’] Strawberry plant named ‘DrisStrawSeventyNine’] Strawberry plant named ‘DrisStrawSeventy’] Strawberry plant named ‘DrisStrawSeventyOne’] Strawberry plant named ‘DrisStrawSixtyNine’] Strawberry plant named ‘DrisStrawEightyOne’] Strawberry plant named ‘DrisStrawEighty’] Strawberry plant variety named ‘DrisStrawEightyTwo’] Strawberry plant variety named ‘DrisStrawEightyThree’] Strawberry plant named ‘DrisStrawEightyFive’] Strawberry plant named ‘DrisStrawEightySix’] Strawberry plant named ‘DrisStrawEightyFour’] Strawberry plant named ‘DrisStrawEightySeven’] Strawberry plant named ‘DrisStrawEightyNine’] Strawberry plant named ‘DrisStrawNinetyThree’] Strawberry plant named ‘DrisStrawEightyEight’] Strawberry plant named ‘DrisStrawNinety’] Strawberry plant named ‘DrisStrawNinetyTwo’] Strawberry plant named `Catalina`] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lisy64ic7f0cyqgflj6hgebmf,1910defa94caf5de27665d297d08adc4,NA,NA,NA,NA,NA,NA,"This invention relates to a new and distinct day neutral type strawberry variety named `PSI-130`. The new variety produces a relatively high fruit yield, comparable to that of the standard cultivar `Selva`. The variety is characterized by its medium sized, light colored fruit which is smoother and more conic than that of `Selva`. The fruit shelf life is comparable to that of the standard cultivars `Selva` and `Muir`. The plant is similar in appearance to `Selva`, yet slightly less vigorous.. Strawberry plant named `PSI-130`",1990,,,,strawberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP8086,predicted,0,unknown,0.495605200529099,0,89
strawberry,PP8086,"This invention relates to a new and distinct day neutral type strawberry variety named `PSI-130`. The new variety produces a relatively high fruit yield, comparable to that of the standard cultivar `Selva`. The variety is characterized by its medium sized, light colored fruit which is smoother and more conic than that of `Selva`. The fruit shelf life is comparable to that of the standard cultivars `Selva` and `Muir`. The plant is similar in appearance to `Selva`, yet slightly less vigorous.",1993-01-05,Strawberry plant named `PSI-130`,plant,1993,"Coast Cooling, Inc.",07637112,07/637112,NA,06] NA,06087] NA,US] NA,-121.753] NA,36.9093] NA,Watsonville] NA,3] NA,PP11639] PP12899] PP27645] PP27682] PP27711] PP27813] PP29289] PP29728] PP29729] PP29730] PP29731] PP29747] PP29748] PP29749] PP30775] PP30789] PP30818] PP30851] PP30936] PP31083] PP31233] PP31527] PP31655] PP31703] PP31827] PP31896] PP31935] PP32079] PP32080] PP32271] PP32305] PP32498] PP32499] PP32500] PP32801] PP32814] PP32824] PP33070] PP33090] PP33283] PP33513] PP33737] PP33738] PP34072] PP34212] PP34241] PP34273] PP34274] PP9320] NA,Strawberry plant named `Alisal`] Strawberry plant named &#8216;San Juan&#8217;] Strawberry plant named ‘DrisStrawFortyFive’] Strawberry plant named ‘DrisStrawFortyNine’] Strawberry plant named ‘DrisStrawFortySix’] Strawberry plant named ‘DrisStrawFortySeven’] Strawberry plant named ‘DrisStrawFifty’] Strawberry plant variety named ‘DrisStrawFiftySeven’] Strawberry plant variety named ‘DrisStrawFiftyTwo’] Strawberry plant variety named ‘DrisStrawFiftyOne’] Strawberry plant variety named ‘DrisStrawFiftySix’] Strawberry plant variety named ‘DrisStrawFiftyFive’] Strawberry plant variety named ‘DrisStrawFiftyFour’] Strawberry plant variety named ‘DrisStrawFiftyThree’] Strawberry plant named ‘DrisStrawSixtyOne’] Strawberry plant variety named ‘DrisStrawSixty’] Strawberry plant variety named ‘DrisStrawSixtyFive’] Strawberry plant variety named ‘DrisStrawFiftyEight’] Strawberry plant variety named ‘DrisStrawSixtyFour’] Strawberry plant variety named ‘DrisStrawSixtyThree’] Strawberry plant variety named ‘DrisStrawFiftyNine’] Strawberry plant variety named ‘DrisStrawSixtyTwo’] Strawberry plant variety named ‘DrisStrawSeventyEight’] Strawberry plant named ‘DrisStrawSixtySix’] Strawberry plant variety named ‘DrisStrawSeventySix’] Strawberry plant named ‘DrisStrawSeventyTwo’] Strawberry plant named ‘DrisStrawSeventyFour’] Strawberry plant named ‘DrisStrawSixtyEight’] Strawberry plant named ‘DrisStrawSeventyFive’] Strawberry plant variety named ‘DrisStrawSeventySeven’] Strawberry plant named ‘DrisStrawSeventyThree’] Strawberry plant named ‘DrisStrawSeventyNine’] Strawberry plant named ‘DrisStrawSeventy’] Strawberry plant named ‘DrisStrawSeventyOne’] Strawberry plant named ‘DrisStrawSixtyNine’] Strawberry plant named ‘DrisStrawEightyOne’] Strawberry plant named ‘DrisStrawEighty’] Strawberry plant variety named ‘DrisStrawEightyTwo’] Strawberry plant variety named ‘DrisStrawEightyThree’] Strawberry plant named ‘DrisStrawEightyFive’] Strawberry plant named ‘DrisStrawEightySix’] Strawberry plant named ‘DrisStrawEightyFour’] Strawberry plant named ‘DrisStrawEightySeven’] Strawberry plant named ‘DrisStrawEightyNine’] Strawberry plant named ‘DrisStrawNinetyThree’] Strawberry plant named ‘DrisStrawEightyEight’] Strawberry plant named ‘DrisStrawNinety’] Strawberry plant named ‘DrisStrawNinetyTwo’] Strawberry plant named `Catalina`] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lisy64ic7f0cyqgflj6hgebmf,1910defa94caf5de27665d297d08adc4,NA,NA,NA,NA,NA,NA,"This invention relates to a new and distinct day neutral type strawberry variety named `PSI-130`. The new variety produces a relatively high fruit yield, comparable to that of the standard cultivar `Selva`. The variety is characterized by its medium sized, light colored fruit which is smoother and more conic than that of `Selva`. The fruit shelf life is comparable to that of the standard cultivars `Selva` and `Muir`. The plant is similar in appearance to `Selva`, yet slightly less vigorous.. Strawberry plant named `PSI-130`",1990,,,,strawberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP8086,predicted,0,unknown,0.495605200529099,0,89
strawberry,PP8086,"This invention relates to a new and distinct day neutral type strawberry variety named `PSI-130`. The new variety produces a relatively high fruit yield, comparable to that of the standard cultivar `Selva`. The variety is characterized by its medium sized, light colored fruit which is smoother and more conic than that of `Selva`. The fruit shelf life is comparable to that of the standard cultivars `Selva` and `Muir`. The plant is similar in appearance to `Selva`, yet slightly less vigorous.",1993-01-05,Strawberry plant named `PSI-130`,plant,1993,"Plant Sciences, Inc.",07637112,07/637112,NA,06] NA,06087] NA,US] NA,-121.753] NA,36.9093] NA,Watsonville] NA,80] NA,PP11639] PP12899] PP27645] PP27682] PP27711] PP27813] PP29289] PP29728] PP29729] PP29730] PP29731] PP29747] PP29748] PP29749] PP30775] PP30789] PP30818] PP30851] PP30936] PP31083] PP31233] PP31527] PP31655] PP31703] PP31827] PP31896] PP31935] PP32079] PP32080] PP32271] PP32305] PP32498] PP32499] PP32500] PP32801] PP32814] PP32824] PP33070] PP33090] PP33283] PP33513] PP33737] PP33738] PP34072] PP34212] PP34241] PP34273] PP34274] PP9320] NA,Strawberry plant named `Alisal`] Strawberry plant named &#8216;San Juan&#8217;] Strawberry plant named ‘DrisStrawFortyFive’] Strawberry plant named ‘DrisStrawFortyNine’] Strawberry plant named ‘DrisStrawFortySix’] Strawberry plant named ‘DrisStrawFortySeven’] Strawberry plant named ‘DrisStrawFifty’] Strawberry plant variety named ‘DrisStrawFiftySeven’] Strawberry plant variety named ‘DrisStrawFiftyTwo’] Strawberry plant variety named ‘DrisStrawFiftyOne’] Strawberry plant variety named ‘DrisStrawFiftySix’] Strawberry plant variety named ‘DrisStrawFiftyFive’] Strawberry plant variety named ‘DrisStrawFiftyFour’] Strawberry plant variety named ‘DrisStrawFiftyThree’] Strawberry plant named ‘DrisStrawSixtyOne’] Strawberry plant variety named ‘DrisStrawSixty’] Strawberry plant variety named ‘DrisStrawSixtyFive’] Strawberry plant variety named ‘DrisStrawFiftyEight’] Strawberry plant variety named ‘DrisStrawSixtyFour’] Strawberry plant variety named ‘DrisStrawSixtyThree’] Strawberry plant variety named ‘DrisStrawFiftyNine’] Strawberry plant variety named ‘DrisStrawSixtyTwo’] Strawberry plant variety named ‘DrisStrawSeventyEight’] Strawberry plant named ‘DrisStrawSixtySix’] Strawberry plant variety named ‘DrisStrawSeventySix’] Strawberry plant named ‘DrisStrawSeventyTwo’] Strawberry plant named ‘DrisStrawSeventyFour’] Strawberry plant named ‘DrisStrawSixtyEight’] Strawberry plant named ‘DrisStrawSeventyFive’] Strawberry plant variety named ‘DrisStrawSeventySeven’] Strawberry plant named ‘DrisStrawSeventyThree’] Strawberry plant named ‘DrisStrawSeventyNine’] Strawberry plant named ‘DrisStrawSeventy’] Strawberry plant named ‘DrisStrawSeventyOne’] Strawberry plant named ‘DrisStrawSixtyNine’] Strawberry plant named ‘DrisStrawEightyOne’] Strawberry plant named ‘DrisStrawEighty’] Strawberry plant variety named ‘DrisStrawEightyTwo’] Strawberry plant variety named ‘DrisStrawEightyThree’] Strawberry plant named ‘DrisStrawEightyFive’] Strawberry plant named ‘DrisStrawEightySix’] Strawberry plant named ‘DrisStrawEightyFour’] Strawberry plant named ‘DrisStrawEightySeven’] Strawberry plant named ‘DrisStrawEightyNine’] Strawberry plant named ‘DrisStrawNinetyThree’] Strawberry plant named ‘DrisStrawEightyEight’] Strawberry plant named ‘DrisStrawNinety’] Strawberry plant named ‘DrisStrawNinetyTwo’] Strawberry plant named `Catalina`] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lisy64ic7f0cyqgflj6hgebmf,1910defa94caf5de27665d297d08adc4,NA,NA,NA,NA,NA,NA,"This invention relates to a new and distinct day neutral type strawberry variety named `PSI-130`. The new variety produces a relatively high fruit yield, comparable to that of the standard cultivar `Selva`. The variety is characterized by its medium sized, light colored fruit which is smoother and more conic than that of `Selva`. The fruit shelf life is comparable to that of the standard cultivars `Selva` and `Muir`. The plant is similar in appearance to `Selva`, yet slightly less vigorous.. Strawberry plant named `PSI-130`",1990,,,,strawberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP8086,predicted,0,unknown,0.495605200529099,0,89
strawberry,PP8086,"This invention relates to a new and distinct day neutral type strawberry variety named `PSI-130`. The new variety produces a relatively high fruit yield, comparable to that of the standard cultivar `Selva`. The variety is characterized by its medium sized, light colored fruit which is smoother and more conic than that of `Selva`. The fruit shelf life is comparable to that of the standard cultivars `Selva` and `Muir`. The plant is similar in appearance to `Selva`, yet slightly less vigorous.",1993-01-05,Strawberry plant named `PSI-130`,plant,1993,"Plant Sciences, Inc.",07637112,07/637112,NA,06] NA,06087] NA,US] NA,-121.753] NA,36.9093] NA,Watsonville] NA,80] NA,PP11639] PP12899] PP27645] PP27682] PP27711] PP27813] PP29289] PP29728] PP29729] PP29730] PP29731] PP29747] PP29748] PP29749] PP30775] PP30789] PP30818] PP30851] PP30936] PP31083] PP31233] PP31527] PP31655] PP31703] PP31827] PP31896] PP31935] PP32079] PP32080] PP32271] PP32305] PP32498] PP32499] PP32500] PP32801] PP32814] PP32824] PP33070] PP33090] PP33283] PP33513] PP33737] PP33738] PP34072] PP34212] PP34241] PP34273] PP34274] PP9320] NA,Strawberry plant named `Alisal`] Strawberry plant named &#8216;San Juan&#8217;] Strawberry plant named ‘DrisStrawFortyFive’] Strawberry plant named ‘DrisStrawFortyNine’] Strawberry plant named ‘DrisStrawFortySix’] Strawberry plant named ‘DrisStrawFortySeven’] Strawberry plant named ‘DrisStrawFifty’] Strawberry plant variety named ‘DrisStrawFiftySeven’] Strawberry plant variety named ‘DrisStrawFiftyTwo’] Strawberry plant variety named ‘DrisStrawFiftyOne’] Strawberry plant variety named ‘DrisStrawFiftySix’] Strawberry plant variety named ‘DrisStrawFiftyFive’] Strawberry plant variety named ‘DrisStrawFiftyFour’] Strawberry plant variety named ‘DrisStrawFiftyThree’] Strawberry plant named ‘DrisStrawSixtyOne’] Strawberry plant variety named ‘DrisStrawSixty’] Strawberry plant variety named ‘DrisStrawSixtyFive’] Strawberry plant variety named ‘DrisStrawFiftyEight’] Strawberry plant variety named ‘DrisStrawSixtyFour’] Strawberry plant variety named ‘DrisStrawSixtyThree’] Strawberry plant variety named ‘DrisStrawFiftyNine’] Strawberry plant variety named ‘DrisStrawSixtyTwo’] Strawberry plant variety named ‘DrisStrawSeventyEight’] Strawberry plant named ‘DrisStrawSixtySix’] Strawberry plant variety named ‘DrisStrawSeventySix’] Strawberry plant named ‘DrisStrawSeventyTwo’] Strawberry plant named ‘DrisStrawSeventyFour’] Strawberry plant named ‘DrisStrawSixtyEight’] Strawberry plant named ‘DrisStrawSeventyFive’] Strawberry plant variety named ‘DrisStrawSeventySeven’] Strawberry plant named ‘DrisStrawSeventyThree’] Strawberry plant named ‘DrisStrawSeventyNine’] Strawberry plant named ‘DrisStrawSeventy’] Strawberry plant named ‘DrisStrawSeventyOne’] Strawberry plant named ‘DrisStrawSixtyNine’] Strawberry plant named ‘DrisStrawEightyOne’] Strawberry plant named ‘DrisStrawEighty’] Strawberry plant variety named ‘DrisStrawEightyTwo’] Strawberry plant variety named ‘DrisStrawEightyThree’] Strawberry plant named ‘DrisStrawEightyFive’] Strawberry plant named ‘DrisStrawEightySix’] Strawberry plant named ‘DrisStrawEightyFour’] Strawberry plant named ‘DrisStrawEightySeven’] Strawberry plant named ‘DrisStrawEightyNine’] Strawberry plant named ‘DrisStrawNinetyThree’] Strawberry plant named ‘DrisStrawEightyEight’] Strawberry plant named ‘DrisStrawNinety’] Strawberry plant named ‘DrisStrawNinetyTwo’] Strawberry plant named `Catalina`] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lisy64ic7f0cyqgflj6hgebmf,1910defa94caf5de27665d297d08adc4,NA,NA,NA,NA,NA,NA,"This invention relates to a new and distinct day neutral type strawberry variety named `PSI-130`. The new variety produces a relatively high fruit yield, comparable to that of the standard cultivar `Selva`. The variety is characterized by its medium sized, light colored fruit which is smoother and more conic than that of `Selva`. The fruit shelf life is comparable to that of the standard cultivars `Selva` and `Muir`. The plant is similar in appearance to `Selva`, yet slightly less vigorous.. Strawberry plant named `PSI-130`",1990,,,,strawberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP8086,predicted,0,unknown,0.495605200529099,0,89
orange,PP8089,"This invention relates to a new and distinct cultivar of Geranium Pelargonium.times.hortorum named Jubilee that possesses a flower color that is a unique combination of red-orange and watermelon shades, and is early flowering, floriferous, self-branching, and compact.",1993-01-05,Geranium plant `Jubilee`,plant,1993,"RESEARCH CORPORATION TECHNOLOGIES, INC.",07683213,,,,,,,,,362,"PP10471, PP10515","Variety of geranium plant named `Patriot Salmon Blush`, Variety of Geranium plant named `Sweet Dreams`",,,,,,,,,,doh0lcv1o34h2pp4bu7ezpoaa,4a384be8a8e02e474d0ba30fb895a8bb,,,,,,,"This invention relates to a new and distinct cultivar of Geranium Pelargonium.times.hortorum named Jubilee that possesses a flower color that is a unique combination of red-orange and watermelon shades, and is early flowering, floriferous, self-branching, and compact.. Geranium plant `Jubilee`",1990,"RESEARCH CORPORATION TECHNOLOGIES, INC.",13917,84110,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP8089,predicted,0,unknown,0.492463171482086,0,89
