crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
orange,PP11847,"A new and distinct cultivar of Double Impatiens plant named `Balfieorce`, characterized by its numerous fully double orange-colored flowers; upright and mounded plant habit; and freely basal-branching habit.",2001-04-24,Double impatiens plant named `Balfieorce`,plant,2001,"Ball FloraPlant, a division of Ball Horticultural Company",09475997,09/475997,NA,40] NA,40151] NA,US] NA,-98.666] NA,36.8031] NA,Alva] NA,135] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ie6cb2oo7770r44ldqj84a1tu] u7bt6aknu1oyi0r5m1to21d7t,52d6e6c7eaf6b4abc9eb6a04e4ef1d62,NA,NA,NA,NA,NA,NA,"A new and distinct cultivar of Double Impatiens plant named `Balfieorce`, characterized by its numerous fully double orange-colored flowers; upright and mounded plant habit; and freely basal-branching habit.. Double impatiens plant named `Balfieorce`",2000,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP11847,predicted,0,unknown,0.49024224281311,0,73
date,PP11850,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.,2001-05-01,Chrysanthemum plant named `Ares`,plant,2001,Chrysanthemum Breeders Association B.V.,09179456,09/179456,NA,NA,NA,NL] NA,5.48249] NA,52.2219] NA,Nijkerk] NA,180] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y64rpptia0cpwbkl678zbzw40,ee577d3b2fa3b04f0f1af7ccf4f4e4c4,NA,NA,NA,NA,NA,NA,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.. Chrysanthemum plant named `Ares`,2000,,,,date,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP11850,predicted,0,unknown,0.497066527605057,0,73
date,PP11850,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.,2001-05-01,Chrysanthemum plant named `Ares`,plant,2001,Chrysanthemum Breeders Association B.V.,09179456,09/179456,NA,NA,NA,NL] NA,5.48249] NA,52.2219] NA,Nijkerk] NA,180] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y64rpptia0cpwbkl678zbzw40,ee577d3b2fa3b04f0f1af7ccf4f4e4c4,NA,NA,NA,NA,NA,NA,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.. Chrysanthemum plant named `Ares`,2000,,,,date,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP11850,predicted,0,unknown,0.497066527605057,0,73
date,PP11850,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.,2001-05-01,Chrysanthemum plant named `Ares`,plant,2001,Chrysanthemum Breeders Association B.V.,09179456,09/179456,NA,NA,NA,NL] NA,5.48249] NA,52.2219] NA,Nijkerk] NA,180] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y64rpptia0cpwbkl678zbzw40,ee577d3b2fa3b04f0f1af7ccf4f4e4c4,NA,NA,NA,NA,NA,NA,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.. Chrysanthemum plant named `Ares`,2000,,,,date,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP11850,predicted,0,unknown,0.497066527605057,0,73
date,PP11850,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.,2001-05-01,Chrysanthemum plant named `Ares`,plant,2001,Chrysanthemum Breeders Association B.V.,09179456,09/179456,NA,NA,NA,NL] NA,5.48249] NA,52.2219] NA,Nijkerk] NA,180] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y64rpptia0cpwbkl678zbzw40,ee577d3b2fa3b04f0f1af7ccf4f4e4c4,NA,NA,NA,NA,NA,NA,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.. Chrysanthemum plant named `Ares`,2000,,,,date,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP11850,predicted,0,unknown,0.497066527605057,0,73
date,PP11850,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.,2001-05-01,Chrysanthemum plant named `Ares`,plant,2001,Chrysanthemum Breeders Association Research B.V.,09179456,,,,,NL,5.54122,52.2473,,264,NA,NA,,,,,,,,,,y64rpptia0cpwbkl678zbzw40,ee577d3b2fa3b04f0f1af7ccf4f4e4c4,,,,,,,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.. Chrysanthemum plant named `Ares`,2000,Chrysanthemum Breeders Association Research B.V.,5563,225754,date,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP11850,predicted,0,unknown,0.497066527605057,0,73
date,PP11850,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.,2001-05-01,Chrysanthemum plant named `Ares`,plant,2001,Chrysanthemum Breeders Association Research B.V.,09179456,,,,,NL,5.54122,52.2473,,264,NA,NA,,,,,,,,,,y64rpptia0cpwbkl678zbzw40,ee577d3b2fa3b04f0f1af7ccf4f4e4c4,,,,,,,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.. Chrysanthemum plant named `Ares`,2000,Chrysanthemum Breeders Association Research B.V.,5563,225754,date,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP11850,predicted,0,unknown,0.497066527605057,0,73
date,PP11850,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.,2001-05-01,Chrysanthemum plant named `Ares`,plant,2001,Chrysanthemum Breeders Association Research B.V.,09179456,,,,,NL,5.54122,52.2473,,264,NA,NA,,,,,,,,,,y64rpptia0cpwbkl678zbzw40,ee577d3b2fa3b04f0f1af7ccf4f4e4c4,,,,,,,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.. Chrysanthemum plant named `Ares`,2000,Chrysanthemum Breeders Association Research B.V.,5563,225754,date,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP11850,predicted,0,unknown,0.497066527605057,0,73
date,PP11850,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.,2001-05-01,Chrysanthemum plant named `Ares`,plant,2001,Chrysanthemum Breeders Association Research B.V.,09179456,,,,,NL,5.54122,52.2473,,264,NA,NA,,,,,,,,,,y64rpptia0cpwbkl678zbzw40,ee577d3b2fa3b04f0f1af7ccf4f4e4c4,,,,,,,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.. Chrysanthemum plant named `Ares`,2000,Chrysanthemum Breeders Association Research B.V.,5563,225754,date,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP11850,predicted,0,unknown,0.497066527605057,0,73
orange,PP11850,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.,2001-05-01,Chrysanthemum plant named `Ares`,plant,2001,Chrysanthemum Breeders Association B.V.,09179456,09/179456,NA,NA,NA,NL] NA,5.48249] NA,52.2219] NA,Nijkerk] NA,180] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y64rpptia0cpwbkl678zbzw40,ee577d3b2fa3b04f0f1af7ccf4f4e4c4,NA,NA,NA,NA,NA,NA,A chrysanthemum plant named Helios characterized by its medium sized blooms with orange ray florets and yellow ray florets and prolific branching; early natural season flower date of August 4-7; blooming for a period of 5 weeks.. Chrysanthemum plant named `Ares`,2000,,,,orange,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP11850,predicted,0,unknown,0.497066527605057,0,73
